사업소,호기,일자,황산화물(ppm)기준,황산화물(ppm)평균,질소산화물(ppm)기준,질소산화물(ppm)평균,먼지(㎎/S㎥)기준,먼지(㎎/S㎥)평균,월,NOX_일평균,SOX_일평균,먼지,산소,유량,온도
삼천포,6A호기,202406,25.0,9.5,15.0,9.5,5.0,1.8,202406,2.7203333333333335,9.624333333333334,5.192333333333334,7.147666666666667,43835.62333333333,70.11766666666668
삼천포,6B호기,202406,25.0,9.5,15.0,9.5,5.0,1.8,202406,2.904333333333333,8.146333333333333,3.437,6.993666666666667,50851.46433333333,82.77066666666666
삼천포,3A호기,202405,70.0,19.1,140.0,31.2,25.0,3.1,202405,36.34322580645161,17.568064516129034,56.36354838709677,7.879677419354839,63814.050322580646,90.65709677419355
삼천포,3B호기,202405,70.0,19.1,140.0,31.2,25.0,3.1,202405,28.51258064516129,20.463225806451614,20.620967741935484,7.78483870967742,67843.24032258065,93.57516129032258
삼천포,4A호기,202405,70.0,19.1,140.0,31.2,25.0,3.1,202405,33.47354838709678,25.385806451612904,147.7774193548387,7.029032258064516,58135.80935483871,73.77774193548387
삼천포,4B호기,202405,70.0,19.1,140.0,31.2,25.0,3.1,202405,29.582903225806454,11.866774193548387,18.544838709677418,6.9396774193548385,76473.4693548387,71.46967741935484
삼천포,5A호기,202405,140.0,9.4,140.0,3.3,25.0,2.0,202405,5.3422580645161295,19.246129032258064,54.276774193548384,21.01483870967742,143.62387096774194,19.148064516129033
삼천포,5B호기,202405,140.0,9.4,140.0,3.3,25.0,2.0,202405,1.4238709677419354,18.534193548387094,20.149677419354838,21.056451612903224,75.20870967741936,20.67967741935484
삼천포,6A호기,202405,140.0,9.4,140.0,3.3,25.0,2.0,202405,43.34903225806451,20.121935483870967,116.05709677419355,18.872258064516128,7402.255483870968,29.78548387096774
삼천포,6B호기,202405,140.0,9.4,140.0,3.3,25.0,2.0,202405,220.72387096774193,51.23516129032258,86.47677419354838,18.884838709677418,11102.338709677419,32.20870967741936
영흥,1호기,202405,45.0,1.8,55.0,12.0,20.0,1.9,202405,31.07225806451613,13.420645161290324,780.7590322580645,21.024193548387096,16.401612903225807,13.935806451612903
영흥,2호기,202405,45.0,1.8,55.0,12.0,20.0,1.9,202405,0.5638709677419355,15.706451612903225,526.021935483871,20.944193548387098,26.60290322580645,14.621612903225806
영흥,3호기,202405,25.0,14.7,15.0,11.9,5.0,1.7,202405,12.393548387096773,15.09483870967742,1.6864516129032259,5.075161290322581,224495.8322580645,83.55387096774194
영흥,4호기,202405,25.0,14.7,15.0,11.9,5.0,1.7,202405,7.4148387096774195,5.772903225806452,80.62967741935483,17.711612903225806,39331.462258064515,35.519677419354835
삼천포,5A호기,202405,25.0,10.6,15.0,9.4,5.0,1.8,202405,5.3422580645161295,19.246129032258064,54.276774193548384,21.01483870967742,143.62387096774194,19.148064516129033
삼천포,5B호기,202405,25.0,10.6,15.0,9.4,5.0,1.8,202405,1.4238709677419354,18.534193548387094,20.149677419354838,21.056451612903224,75.20870967741936,20.67967741935484
삼천포,6A호기,202405,25.0,10.6,15.0,9.4,5.0,1.8,202405,43.34903225806451,20.121935483870967,116.05709677419355,18.872258064516128,7402.255483870968,29.78548387096774
삼천포,6B호기,202405,25.0,10.6,15.0,9.4,5.0,1.8,202405,220.72387096774193,51.23516129032258,86.47677419354838,18.884838709677418,11102.338709677419,32.20870967741936
삼천포,3A호기,202404,70.0,18.3,140.0,31.9,25.0,3.0,202404,36.409666666666666,16.009333333333334,33.98833333333334,9.145333333333333,57678.08700000001,84.02666666666667
삼천포,3B호기,202404,70.0,18.3,140.0,31.9,25.0,3.0,202404,29.541999999999998,20.195666666666668,38.120999999999995,9.080666666666668,61143.62733333334,87.29733333333334
삼천포,4A호기,202404,70.0,18.3,140.0,31.9,25.0,3.0,202404,62.70466666666666,24.543,86.718,10.260666666666667,45196.551666666666,62.541666666666664
삼천포,4B호기,202404,70.0,18.3,140.0,31.9,25.0,3.0,202404,26.995333333333335,10.815666666666667,128.27200000000002,10.204333333333333,60209.69633333334,61.205000000000005
삼천포,5A호기,202404,140.0,10.1,140.0,2.4,25.0,1.4,202404,6.619333333333333,12.169,185.57233333333335,16.07,23670.65,43.38366666666666
삼천포,5B호기,202404,140.0,10.1,140.0,2.4,25.0,1.4,202404,3.589,8.902333333333333,98.042,16.137333333333334,20207.072666666663,42.18933333333334
삼천포,6A호기,202404,140.0,10.1,140.0,2.4,25.0,1.4,202404,41.89366666666667,24.39,40.69233333333333,21.059,33.129,16.266000000000002
삼천포,6B호기,202404,140.0,10.1,140.0,2.4,25.0,1.4,202404,32.10966666666666,45.995,114.76733333333333,21.089333333333332,541.9583333333334,16.736666666666668
여수,1호기,202404,,4.3,,16.0,,3.4,202404,19.07,1.5706666666666667,58.69633333333333,19.444666666666667,6575.061333333333,33.74333333333333
영흥,1호기,202404,45.0,1.7,55.0,10.9,20.0,2.8,202404,0.9506666666666667,31.08833333333333,695.6460000000001,21.033666666666665,21.233333333333334,11.281666666666666
영흥,2호기,202404,45.0,1.7,55.0,10.9,20.0,2.8,202404,1.7243333333333333,5.402,572.622,21.000666666666667,25.413,11.934666666666667
영흥,3호기,202404,25.0,15.0,15.0,12.5,5.0,2.0,202404,12.766333333333334,15.093,4.0776666666666666,5.276,214578.506,83.00566666666667
영흥,4호기,202404,25.0,15.0,15.0,12.5,5.0,2.0,202404,2.4466666666666668,11.398666666666665,78.97333333333333,20.809666666666665,185.57366666666667,13.446333333333333
삼천포,5A호기,202404,25.0,9.9,15.0,8.9,5.0,2.4,202404,6.619333333333333,12.169,185.57233333333335,16.07,23670.65,43.38366666666666
삼천포,5B호기,202404,25.0,9.9,15.0,8.9,5.0,2.4,202404,3.589,8.902333333333333,98.042,16.137333333333334,20207.072666666663,42.18933333333334
삼천포,6A호기,202404,25.0,9.9,15.0,8.9,5.0,2.4,202404,41.89366666666667,24.39,40.69233333333333,21.059,33.129,16.266000000000002
삼천포,6B호기,202404,25.0,9.9,15.0,8.9,5.0,2.4,202404,32.10966666666666,45.995,114.76733333333333,21.089333333333332,541.9583333333334,16.736666666666668
분당,1호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,8.025483870967742,,,15.34032258064516,62287.4735483871,119.49709677419354
분당,2호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,4.497096774193548,,,19.668387096774193,13778.296774193548,51.575161290322576
분당,3호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,7.547741935483871,,,17.078387096774193,40795.79709677419,94.03129032258065
분당,4호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,3.265806451612903,,,18.776774193548388,26769.366129032256,57.98483870967742
분당,5호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,4.83741935483871,,,19.574838709677422,25045.73258064516,49.81354838709677
분당,6호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,4.972903225806451,,,18.606774193548386,26881.00612903226,55.82225806451613
분당,7호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,5.262903225806451,,,18.614516129032257,26624.542903225803,53.50741935483871
분당,8호기,202403,35.0,0.0,100.0,8.4,15.0,0.0,202403,3.398387096774193,,,18.94645161290323,21952.27935483871,51.009354838709676
삼천포,3A호기,202403,70.0,18.0,140.0,40.2,25.0,3.4,202403,146.81096774193549,18.804516129032255,145.80580645161288,19.216129032258067,7663.861290322581,22.45483870967742
삼천포,3B호기,202403,70.0,18.0,140.0,40.2,25.0,3.4,202403,48.498387096774195,17.438064516129035,113.4274193548387,19.21483870967742,8377.54193548387,23.969354838709677
삼천포,4A호기,202403,70.0,18.0,140.0,40.2,25.0,3.4,202403,123.41032258064516,19.301290322580645,167.40709677419355,13.956451612903225,32366.33709677419,48.51483870967742
삼천포,4B호기,202403,70.0,18.0,140.0,40.2,25.0,3.4,202403,70.80129032258066,8.403548387096773,55.01483870967742,13.899999999999999,41310.90129032258,47.39
삼천포,5A호기,202403,140.0,8.2,140.0,2.5,25.0,0.9,202403,2.7938709677419356,7.3825806451612905,0.7406451612903227,6.1729032258064525,74425.84516129033,83.88677419354838
